Soil Moisture,Temperature,Location,Previous Yield,Weather,Season,Previous Harvested Crop
55,34,Rajasthan,38,Rainy,Summer,Barley
72,29,Chhattisgarh,49,Stormy,Monsoon,Turmeric
62,27,Assam,31,Cloudy,Summer,Rice
72,41,Arunachal Pradesh,43,Stormy,Spring,Rice
,27,Andhra Pradesh,40,Rainy,Autumn,Paddy
67,19,Uttar Pradesh,39,Rainy,Winter,Mustard
80,28,Tripura,66,Rainy,Summer,Rubber
65,29,Punjab,56,Cloudy,Monsoon,Gram
44,19,West Bengal,42,Sunny,Winter,Maize
80,29,Odisha,39,Rainy,Autumn,Rice
47,27,Punjab,43,Cloudy,Summer,Gram
70,25,Tripura,47,Stormy,Summer,Rice
,20,Andhra Pradesh,36,Sunny,Winter,Paddy
74,17,Chhattisgarh,61,Cloudy,Winter,Rice
,33,Maharashtra,33,Stormy,Summer,Sugarcane
51,12,Manipur,,Cloudy,Winter,Pineapple
41,25,Punjab,,Cloudy,Autumn,Cotton
78,22,Telangana,51,Stormy,Monsoon,Paddy
44,25,Madhya Pradesh,45,Stormy,Summer,Soybean
47,30,Karnataka,37,Sunny,Monsoon,Soybean
60,33,Chhattisgarh,,Cloudy,Summer,Maize
,13,Karnataka,48,Stormy,Winter,Jowar
80,22,Bihar,53,Sunny,Winter,Maize
51,35,Meghalaya,30,Stormy,Summer,Rice
41,23,Bihar,57,Rainy,Winter,Maize
80,13,Nagaland,41,Cloudy,Winter,Rice
75,35,Arunachal Pradesh,41,Sunny,Spring,Tea
54,28,Kerala,52,Cloudy,Autumn,Tea
75,24,Karnataka,43,Cloudy,Autumn,Jowar
,26,Tripura,32,Stormy,Autumn,Rice
,28,Chhattisgarh,57,Rainy,Autumn,Maize
50,25,Maharashtra,69,Rainy,Monsoon,Grapes
57,12,Mizoram,45,Stormy,Winter,Rice
40,34,West Bengal,64,Rainy,Spring,Mustard
,28,Telangana,50,Rainy,Autumn,Mango
,20,Manipur,32,Stormy,Autumn,Pineapple
70,21,Rajasthan,44,Stormy,Autumn,Bajra
,24,Karnataka,46,Rainy,Monsoon,Soybean
69,27,Tripura,61,Rainy,Autumn,Rubber
,30,Jharkhand,53,Stormy,Summer,Rice
52,25,Jharkhand,54,Stormy,Summer,Pulses
71,31,Gujarat,34,Cloudy,Spring,Groundnut
41,32,Mizoram,49,Cloudy,Summer,Bamboo
71,25,Punjab,62,Sunny,Autumn,Gram
,20,Haryana,48,Rainy,Winter,Wheat
,28,Rajasthan,49,Cloudy,Summer,Turmeric
54,33,Punjab,48,Cloudy,Summer,Cotton
48,14,Kerala,66,Stormy,Winter,Rubber
65,34,Manipur,37,Sunny,Summer,Pulses
50,31,Gujarat,58,Stormy,Monsoon,Groundnut
72,32,Sikkim,56,Sunny,Monsoon,Ginger
70,30,Maharashtra,57,Cloudy,Autumn,Sugarcane
48,29,Sikkim,,Stormy,Spring,Cardamom
52,25,Arunachal Pradesh,58,Rainy,Autumn,Rice
56,24,Kerala,66,Stormy,Monsoon,Coconut
67,29,Tripura,35,Cloudy,Spring,Pulses
40,26,Tamil Nadu,66,Rainy,Summer,Groundnut
70,30,Meghalaya,52,Stormy,Monsoon,Apple
53,16,Kerala,52,Stormy,Winter,Rubber
,35,Punjab,70,Rainy,Summer,Cotton
45,28,Chhattisgarh,35,Stormy,Summer,Rice
57,41,Assam,66,Cloudy,Spring,Rice
80,23,Punjab,35,Stormy,Monsoon,Cotton
,12,Karnataka,51,Cloudy,Winter,Sugarcane
78,24,Tripura,57,Rainy,Autumn,Pulses
72,28,Punjab,35,Sunny,Spring,Wheat
47,23,Andhra Pradesh,66,Sunny,Autumn,Paddy
56,30,Jharkhand,40,Stormy,Spring,Pulses
41,24,Madhya Pradesh,49,Sunny,Autumn,Jowar
64,19,Mizoram,53,Cloudy,Winter,Pulses
52,29,Mizoram,38,Stormy,Summer,Bamboo
78,29,Telangana,62,Sunny,Summer,Paddy
68,42,Manipur,64,Cloudy,Spring,Pulses
43,22,Telangana,38,Stormy,Winter,Cotton
,21,Gujarat,65,Sunny,Winter,Groundnut
75,27,Jharkhand,33,Cloudy,Autumn,Rice
,28,Chhattisgarh,42,Sunny,Spring,Rice
53,33,Jharkhand,65,Cloudy,Summer,Forest
66,24,Kerala,64,Sunny,Autumn,Rubber
75,19,Haryana,37,Sunny,Winter,Gram
,23,Punjab,47,Sunny,Winter,Wheat
46,31,Madhya Pradesh,,Stormy,Monsoon,Wheat
45,27,Mizoram,54,Rainy,Summer,Pulses
,33,Assam,,Sunny,Summer,Rice
56,24,Andhra Pradesh,56,Rainy,Winter,Groundnut
65,14,Haryana,48,Rainy,Winter,Wheat
80,31,West Bengal,37,Rainy,Summer,Maize
48,25,Manipur,33,Cloudy,Autumn,Rice
,21,Andhra Pradesh,64,Sunny,Winter,Paddy
64,25,West Bengal,,Cloudy,Winter,Maize
55,25,Rajasthan,45,Rainy,Monsoon,Bajra
,30,Assam,63,Rainy,Autumn,Sugarcane
46,25,Sikkim,48,Cloudy,Monsoon,Ginger
58,28,Andhra Pradesh,33,Sunny,Monsoon,Paddy
54,31,Meghalaya,,Sunny,Monsoon,Rice
,28,Manipur,67,Sunny,Summer,Rice
76,14,Madhya Pradesh,63,Stormy,Winter,Soybean
44,40,Gujarat,,Sunny,Spring,Cotton
56,25,Gujarat,60,Sunny,Monsoon,Tobacco
70,39,Karnataka,,Cloudy,Spring,Sugarcane
40,28,Karnataka,59,Cloudy,Monsoon,Sugarcane
52,12,Karnataka,32,Stormy,Winter,Soybean
50,29,Jharkhand,48,Cloudy,Summer,Rice
56,31,Assam,52,Rainy,Summer,Rice
65,25,Kerala,54,Cloudy,Autumn,Rubber
79,28,Tripura,68,Sunny,Monsoon,Pulses
50,29,Arunachal Pradesh,43,Cloudy,Summer,Oilseeds
43,25,Telangana,69,Cloudy,Summer,Cotton
56,32,Telangana,66,Stormy,Summer,Paddy
50,20,Haryana,53,Rainy,Winter,Gram
41,26,Manipur,55,Sunny,Summer,Pulses
56,40,Assam,34,Cloudy,Spring,Sugarcane
71,34,Tripura,37,Stormy,Spring,Pulses
51,24,Karnataka,32,Cloudy,Winter,Sugarcane
,33,West Bengal,65,Sunny,Summer,Mustard
43,32,Sikkim,50,Stormy,Summer,Barley
,33,Maharashtra,51,Cloudy,Summer,Grapes
45,25,Haryana,33,Stormy,Winter,Bajra
57,18,Karnataka,31,Rainy,Winter,Jowar
48,41,Rajasthan,64,Sunny,Spring,Bajra
62,30,Nagaland,,Cloudy,Summer,Oilseeds
58,30,Punjab,30,Sunny,Autumn,Gram
74,22,Jharkhand,47,Stormy,Autumn,Forest
44,30,Karnataka,32,Rainy,Autumn,Sugarcane
,28,Mizoram,51,Rainy,Autumn,Rice
63,39,Meghalaya,53,Sunny,Spring,Rice
55,20,Manipur,50,Cloudy,Winter,Rice
44,21,Haryana,41,Sunny,Autumn,Wheat
,28,Rajasthan,55,Rainy,Monsoon,Turmeric
80,25,West Bengal,61,Stormy,Monsoon,Mustard
58,37,Bihar,53,Stormy,Spring,Maize
42,28,Haryana,48,Cloudy,Autumn,Gram
,32,Madhya Pradesh,61,Stormy,Summer,Wheat
,40,Maharashtra,,Cloudy,Spring,Grapes
54,29,Uttar Pradesh,35,Stormy,Monsoon,Sugarcane
44,29,Rajasthan,43,Rainy,Autumn,Turmeric
52,28,Rajasthan,51,Cloudy,Autumn,Barley
53,25,Punjab,31,Rainy,Autumn,Wheat
76,28,Sikkim,42,Cloudy,Autumn,Barley
46,31,Sikkim,39,Stormy,Summer,Ginger
54,25,Jharkhand,59,Stormy,Monsoon,Rice
,13,Chhattisgarh,30,Stormy,Winter,Maize
64,20,West Bengal,63,Sunny,Winter,Maize
53,22,Telangana,,Cloudy,Autumn,Mango
59,32,Rajasthan,45,Rainy,Summer,Barley
,21,Karnataka,48,Rainy,Autumn,Soybean
70,34,Haryana,69,Cloudy,Spring,Gram
77,26,Karnataka,51,Stormy,Monsoon,Sugarcane
45,19,Haryana,39,Cloudy,Winter,Wheat
50,22,West Bengal,50,Rainy,Autumn,Rice
56,32,Tripura,70,Sunny,Monsoon,Pulses
54,29,Telangana,56,Cloudy,Summer,Paddy
,27,Arunachal Pradesh,42,Stormy,Summer,Oilseeds
58,20,Arunachal Pradesh,55,Cloudy,Autumn,Tea
,29,Meghalaya,35,Rainy,Monsoon,Apple
,15,Punjab,,Cloudy,Winter,Cotton
46,26,Gujarat,,Cloudy,Monsoon,Tobacco
75,21,Meghalaya,68,Cloudy,Winter,Potato
44,27,Odisha,42,Stormy,Monsoon,Sugarcane
71,30,Assam,63,Cloudy,Autumn,Sugarcane
51,30,Manipur,70,Rainy,Monsoon,Pineapple
44,29,Kerala,44,Rainy,Autumn,Tea
,31,Punjab,65,Cloudy,Monsoon,Wheat
64,22,Maharashtra,48,Rainy,Autumn,Grapes
62,27,Maharashtra,53,Stormy,Autumn,Grapes
44,16,Meghalaya,57,Cloudy,Winter,Potato
53,23,Rajasthan,43,Sunny,Winter,Turmeric
50,36,Tripura,55,Cloudy,Spring,Pulses
57,28,Chhattisgarh,67,Rainy,Monsoon,Rice
,33,Manipur,,Rainy,Summer,Pineapple
,31,Punjab,34,Stormy,Monsoon,Wheat
44,38,Kerala,66,Rainy,Spring,Coconut
74,23,Meghalaya,61,Cloudy,Monsoon,Potato
,20,Nagaland,39,Cloudy,Winter,Ginger
62,32,Arunachal Pradesh,31,Cloudy,Summer,Oilseeds
55,17,Andhra Pradesh,37,Stormy,Winter,Groundnut
46,29,Nagaland,52,Cloudy,Monsoon,Oilseeds
53,25,Tripura,,Rainy,Summer,Rubber
74,30,Arunachal Pradesh,44,Stormy,Monsoon,Oilseeds
72,27,Jharkhand,68,Sunny,Monsoon,Rice
57,24,Arunachal Pradesh,38,Rainy,Monsoon,Tea
69,23,Tripura,47,Rainy,Autumn,Pulses
63,25,Arunachal Pradesh,37,Stormy,Autumn,Rice
50,28,Karnataka,70,Rainy,Summer,Sugarcane
43,25,Sikkim,35,Sunny,Summer,Cardamom
72,20,Assam,70,Sunny,Autumn,Rice
67,12,Chhattisgarh,68,Cloudy,Winter,Turmeric
,31,West Bengal,62,Stormy,Monsoon,Maize
,30,Kerala,33,Cloudy,Autumn,Coconut
,30,Manipur,57,Rainy,Monsoon,Pulses
43,30,Sikkim,,Rainy,Summer,Ginger
,26,Bihar,55,Rainy,Summer,Maize
49,29,Tripura,68,Cloudy,Spring,Rice
,20,West Bengal,47,Cloudy,Winter,Rice
66,32,Odisha,36,Cloudy,Monsoon,Rice
54,16,Punjab,68,Sunny,Winter,Gram
,28,Rajasthan,,Rainy,Summer,Bajra
77,25,Karnataka,34,Stormy,Autumn,Soybean
46,22,Tripura,,Rainy,Autumn,Pulses
56,33,Gujarat,55,Rainy,Summer,Tobacco
57,26,Madhya Pradesh,55,Stormy,Summer,Wheat
47,39,Nagaland,34,Stormy,Spring,Oilseeds
40,23,Tamil Nadu,36,Sunny,Winter,Cotton
,34,Sikkim,39,Sunny,Spring,Cardamom
58,27,Meghalaya,61,Cloudy,Summer,Rice
61,32,Tripura,41,Rainy,Monsoon,Pulses
45,21,Assam,38,Cloudy,Winter,Sugarcane
50,25,Mizoram,31,Sunny,Summer,Rice
,14,Chhattisgarh,58,Stormy,Winter,Turmeric
45,30,Karnataka,57,Rainy,Autumn,Jowar
56,13,Haryana,68,Stormy,Winter,Gram
,20,Jharkhand,,Rainy,Autumn,Rice
68,23,Nagaland,57,Cloudy,Monsoon,Oilseeds
60,25,Rajasthan,,Cloudy,Monsoon,Turmeric
40,27,Tripura,,Cloudy,Summer,Pulses
62,22,Gujarat,36,Cloudy,Autumn,Groundnut
64,24,Mizoram,41,Cloudy,Winter,Rice
,35,Gujarat,53,Stormy,Spring,Groundnut
,25,Nagaland,37,Stormy,Monsoon,Rice
61,23,Manipur,61,Stormy,Autumn,Pineapple
72,27,Meghalaya,,Rainy,Autumn,Apple
58,28,Karnataka,55,Cloudy,Monsoon,Jowar
80,36,Punjab,,Stormy,Spring,Cotton
51,34,West Bengal,42,Rainy,Spring,Maize
73,24,Madhya Pradesh,38,Stormy,Winter,Jowar
63,34,Sikkim,64,Stormy,Spring,Ginger
,30,West Bengal,43,Sunny,Spring,Maize
78,24,Kerala,50,Rainy,Autumn,Tea
74,28,Karnataka,42,Cloudy,Autumn,Sugarcane
71,41,Meghalaya,65,Stormy,Spring,Potato
61,38,Bihar,49,Stormy,Spring,Maize
68,28,Mizoram,57,Stormy,Spring,Pulses
66,22,Chhattisgarh,31,Rainy,Winter,Rice
75,28,Karnataka,34,Cloudy,Monsoon,Jowar
41,33,Punjab,53,Rainy,Spring,Gram
,29,Sikkim,36,Cloudy,Spring,Barley
76,20,Manipur,40,Sunny,Autumn,Rice
,13,Odisha,44,Sunny,Winter,Pulses
,28,Assam,55,Cloudy,Monsoon,Sugarcane
65,23,Haryana,57,Sunny,Autumn,Bajra
,22,Tamil Nadu,42,Rainy,Winter,Cotton
,42,Jharkhand,45,Sunny,Spring,Pulses
,25,Jharkhand,45,Rainy,Summer,Forest
41,28,Gujarat,33,Rainy,Autumn,Cotton
43,34,Tripura,,Rainy,Summer,Rubber
,21,Mizoram,56,Stormy,Autumn,Pulses
57,17,Meghalaya,,Sunny,Winter,Apple
52,33,Assam,41,Rainy,Spring,Sugarcane
47,24,Sikkim,66,Cloudy,Autumn,Cardamom
75,38,Telangana,33,Stormy,Spring,Paddy
71,12,Jharkhand,59,Cloudy,Winter,Rice
51,32,Gujarat,32,Stormy,Summer,Cotton
72,31,Tamil Nadu,57,Sunny,Spring,Tea
40,12,Bihar,68,Stormy,Winter,Pulses
69,42,Sikkim,30,Rainy,Spring,Barley
55,33,Madhya Pradesh,30,Sunny,Summer,Jowar
,35,Kerala,60,Rainy,Spring,Tea
60,28,Gujarat,40,Rainy,Monsoon,Groundnut
74,29,Chhattisgarh,40,Rainy,Spring,Turmeric
69,24,Uttar Pradesh,30,Rainy,Monsoon,Sugarcane
,14,Rajasthan,69,Rainy,Winter,Barley
50,38,Bihar,70,Stormy,Spring,Wheat
43,39,Karnataka,51,Cloudy,Spring,Jowar
59,27,Karnataka,66,Sunny,Summer,Sugarcane
79,22,Uttar Pradesh,41,Stormy,Monsoon,Mustard
67,42,Chhattisgarh,67,Rainy,Spring,Rice
45,16,Tamil Nadu,38,Cloudy,Winter,Tea
45,35,Telangana,32,Stormy,Spring,Paddy
,23,Arunachal Pradesh,61,Stormy,Monsoon,Rice
80,32,Uttar Pradesh,33,Cloudy,Summer,Maize
64,18,Sikkim,67,Stormy,Winter,Cardamom
50,28,Odisha,69,Cloudy,Autumn,Sugarcane
74,28,Mizoram,57,Cloudy,Summer,Rice
,12,Tamil Nadu,34,Sunny,Winter,Tea
59,24,Tamil Nadu,31,Cloudy,Autumn,Groundnut
58,23,Nagaland,35,Rainy,Monsoon,Oilseeds
67,33,Jharkhand,,Cloudy,Spring,Rice
57,29,Manipur,40,Rainy,Summer,Pineapple
,25,Punjab,46,Stormy,Summer,Cotton
43,30,Kerala,65,Rainy,Monsoon,Rubber
76,28,Karnataka,31,Cloudy,Summer,Soybean
72,40,Jharkhand,53,Sunny,Spring,Rice
45,31,Chhattisgarh,61,Cloudy,Summer,Rice
71,25,Telangana,62,Sunny,Autumn,Paddy
40,29,Karnataka,51,Rainy,Spring,Soybean
40,17,Punjab,49,Cloudy,Winter,Gram
48,24,Punjab,30,Sunny,Monsoon,Cotton
53,33,Assam,38,Cloudy,Summer,Tea
64,26,Madhya Pradesh,36,Cloudy,Monsoon,Soybean
45,26,Haryana,41,Stormy,Autumn,Bajra
48,31,Odisha,60,Cloudy,Monsoon,Sugarcane
69,32,West Bengal,38,Stormy,Monsoon,Rice
44,29,Arunachal Pradesh,57,Rainy,Summer,Rice
73,23,Mizoram,49,Stormy,Autumn,Rice
61,30,Meghalaya,,Rainy,Monsoon,Apple
79,26,Andhra Pradesh,30,Cloudy,Monsoon,Paddy
77,29,Gujarat,39,Rainy,Spring,Tobacco
67,21,Tamil Nadu,34,Stormy,Winter,Cotton
,12,Manipur,61,Stormy,Winter,Pineapple
,29,Meghalaya,47,Cloudy,Autumn,Apple
66,24,Mizoram,35,Cloudy,Monsoon,Bamboo
42,28,Chhattisgarh,44,Cloudy,Monsoon,Maize
71,32,West Bengal,49,Sunny,Summer,Rice
48,24,Jharkhand,55,Rainy,Winter,Forest
74,25,Maharashtra,40,Stormy,Winter,Sugarcane
,27,Karnataka,70,Cloudy,Summer,Jowar
47,27,Bihar,53,Sunny,Monsoon,Maize
43,29,Andhra Pradesh,56,Rainy,Monsoon,Paddy
64,29,Uttar Pradesh,33,Cloudy,Summer,Maize
51,38,Tripura,66,Cloudy,Spring,Rubber
70,22,Karnataka,,Cloudy,Winter,Sugarcane
,24,Gujarat,34,Sunny,Winter,Cotton
,20,Bihar,47,Sunny,Autumn,Wheat
53,28,Tripura,47,Stormy,Spring,Rice
50,39,West Bengal,67,Cloudy,Spring,Mustard
70,27,Sikkim,50,Stormy,Summer,Cardamom
45,32,Arunachal Pradesh,53,Cloudy,Spring,Oilseeds
50,15,Uttar Pradesh,50,Stormy,Winter,Maize
59,24,Sikkim,50,Rainy,Autumn,Ginger
48,37,Uttar Pradesh,55,Sunny,Spring,Maize
74,22,Meghalaya,41,Stormy,Winter,Apple
58,40,West Bengal,40,Rainy,Spring,Maize
75,24,Karnataka,64,Rainy,Monsoon,Soybean
,25,Andhra Pradesh,54,Cloudy,Monsoon,Paddy
60,25,Tripura,54,Rainy,Autumn,Rubber
58,28,Odisha,68,Stormy,Autumn,Pulses
74,32,Odisha,47,Stormy,Spring,Sugarcane
61,28,Odisha,55,Cloudy,Autumn,Rice
,36,Madhya Pradesh,37,Stormy,Spring,Jowar
66,34,Jharkhand,39,Sunny,Summer,Rice
52,27,Telangana,65,Sunny,Autumn,Cotton
70,23,Meghalaya,43,Rainy,Winter,Potato
66,34,Assam,,Sunny,Summer,Rice
44,22,Odisha,41,Sunny,Monsoon,Sugarcane
79,14,Telangana,38,Stormy,Winter,Cotton
49,29,Odisha,46,Rainy,Summer,Sugarcane
,21,Karnataka,54,Stormy,Winter,Sugarcane
55,17,Haryana,49,Stormy,Winter,Bajra
40,38,Tamil Nadu,33,Cloudy,Spring,Tea
72,38,Meghalaya,59,Sunny,Spring,Potato
65,23,Uttar Pradesh,63,Cloudy,Winter,Maize
71,26,Kerala,58,Sunny,Summer,Coconut
65,34,Uttar Pradesh,46,Rainy,Summer,Mustard
78,29,Rajasthan,68,Stormy,Autumn,Turmeric
53,32,Telangana,66,Sunny,Summer,Paddy
,19,Maharashtra,37,Rainy,Winter,Sugarcane
63,27,Mizoram,45,Cloudy,Summer,Rice
66,28,Manipur,60,Rainy,Spring,Pineapple
,22,West Bengal,40,Sunny,Autumn,Rice
72,16,West Bengal,67,Stormy,Winter,Maize
40,27,Gujarat,65,Cloudy,Summer,Cotton
48,36,Jharkhand,47,Cloudy,Spring,Rice
,26,Mizoram,46,Sunny,Summer,Bamboo
53,31,Maharashtra,57,Stormy,Monsoon,Cotton
,23,Odisha,47,Rainy,Autumn,Sugarcane
53,23,Manipur,55,Rainy,Autumn,Pineapple
55,36,West Bengal,36,Sunny,Spring,Maize
60,28,Madhya Pradesh,58,Rainy,Summer,Jowar
,34,Punjab,,Sunny,Summer,Cotton
,22,Mizoram,38,Cloudy,Autumn,Pulses
46,28,Sikkim,51,Stormy,Autumn,Ginger
48,30,Chhattisgarh,48,Cloudy,Monsoon,Turmeric
47,28,Rajasthan,69,Stormy,Monsoon,Barley
49,30,Rajasthan,,Stormy,Summer,Barley
63,33,Maharashtra,44,Stormy,Spring,Grapes
52,39,Mizoram,64,Rainy,Spring,Bamboo
41,25,Mizoram,42,Cloudy,Summer,Pulses
78,20,West Bengal,51,Cloudy,Autumn,Maize
78,28,Tripura,53,Rainy,Summer,Rubber
,33,West Bengal,66,Sunny,Summer,Rice
71,14,Gujarat,69,Stormy,Winter,Groundnut
74,23,Gujarat,36,Sunny,Autumn,Cotton
41,29,Sikkim,61,Sunny,Monsoon,Cardamom
77,12,Arunachal Pradesh,47,Rainy,Winter,Rice
,24,Kerala,57,Stormy,Autumn,Rubber
,22,Maharashtra,65,Sunny,Autumn,Grapes
61,22,Manipur,41,Cloudy,Monsoon,Pineapple
80,24,Telangana,,Cloudy,Winter,Cotton
74,36,Arunachal Pradesh,62,Sunny,Spring,Oilseeds
44,22,Meghalaya,66,Stormy,Autumn,Potato
52,12,Manipur,38,Stormy,Winter,Rice
65,33,Nagaland,35,Sunny,Spring,Ginger
50,15,Uttar Pradesh,68,Cloudy,Winter,Mustard
,22,Assam,58,Rainy,Monsoon,Rice
,35,Jharkhand,,Rainy,Spring,Pulses
52,28,Rajasthan,39,Cloudy,Spring,Barley
,28,Sikkim,44,Sunny,Autumn,Cardamom
41,30,West Bengal,32,Rainy,Monsoon,Maize
65,42,Odisha,30,Stormy,Spring,Rice
75,28,Sikkim,37,Cloudy,Summer,Ginger
51,25,Madhya Pradesh,48,Stormy,Winter,Soybean
72,23,Meghalaya,52,Sunny,Autumn,Apple
76,34,Assam,52,Rainy,Summer,Tea
70,20,Haryana,51,Stormy,Autumn,Wheat
,35,Mizoram,59,Cloudy,Spring,Bamboo
67,27,Arunachal Pradesh,52,Stormy,Autumn,Tea
52,31,Uttar Pradesh,30,Rainy,Spring,Maize
58,30,Haryana,57,Rainy,Summer,Bajra
66,27,Gujarat,63,Sunny,Monsoon,Cotton
79,28,Kerala,40,Sunny,Summer,Rubber
72,34,Punjab,39,Stormy,Summer,Cotton
78,19,Gujarat,41,Sunny,Winter,Groundnut
58,24,Odisha,40,Cloudy,Autumn,Rice
70,25,Telangana,43,Cloudy,Autumn,Cotton
,32,Maharashtra,,Rainy,Summer,Grapes
74,12,Nagaland,46,Rainy,Winter,Oilseeds
59,22,Punjab,64,Cloudy,Winter,Wheat
,37,Arunachal Pradesh,45,Stormy,Spring,Oilseeds
41,28,Manipur,,Stormy,Monsoon,Pulses
56,23,Chhattisgarh,30,Rainy,Autumn,Turmeric
65,28,Rajasthan,69,Rainy,Spring,Bajra
59,33,Chhattisgarh,45,Cloudy,Spring,Turmeric
73,29,Tripura,31,Stormy,Monsoon,Rice
64,29,Haryana,32,Cloudy,Summer,Bajra
68,33,Andhra Pradesh,,Sunny,Summer,Groundnut
70,14,Nagaland,43,Sunny,Winter,Rice
80,25,Tripura,53,Rainy,Monsoon,Pulses
67,40,Meghalaya,34,Sunny,Spring,Rice
58,29,Mizoram,41,Stormy,Summer,Bamboo
73,22,Haryana,69,Rainy,Winter,Bajra
41,30,Tripura,59,Rainy,Monsoon,Pulses
,27,Chhattisgarh,49,Rainy,Summer,Rice
47,30,Rajasthan,54,Rainy,Autumn,Bajra
41,22,Punjab,46,Stormy,Autumn,Cotton
46,24,Nagaland,56,Sunny,Autumn,Ginger
66,33,Mizoram,63,Stormy,Summer,Bamboo
,22,Nagaland,39,Sunny,Monsoon,Oilseeds
,32,Tripura,,Stormy,Monsoon,Rubber
,25,Maharashtra,70,Cloudy,Summer,Grapes
66,24,Madhya Pradesh,36,Rainy,Winter,Wheat
48,19,Manipur,50,Stormy,Winter,Pineapple
61,28,Tripura,,Sunny,Monsoon,Pulses
53,29,Bihar,51,Stormy,Autumn,Wheat
51,23,Tamil Nadu,33,Stormy,Winter,Groundnut
,25,Jharkhand,34,Rainy,Autumn,Pulses
55,21,Odisha,49,Rainy,Autumn,Sugarcane
44,31,Maharashtra,37,Rainy,Summer,Cotton
66,31,Andhra Pradesh,,Sunny,Spring,Paddy
53,33,Madhya Pradesh,54,Rainy,Summer,Jowar
,28,Rajasthan,,Sunny,Summer,Barley
58,25,Manipur,63,Sunny,Winter,Rice
50,23,Jharkhand,,Sunny,Winter,Forest
69,36,Tripura,69,Sunny,Spring,Rubber
67,33,Uttar Pradesh,43,Cloudy,Summer,Mustard
71,16,Karnataka,49,Sunny,Winter,Soybean
41,40,West Bengal,45,Stormy,Spring,Rice
,41,Arunachal Pradesh,69,Rainy,Spring,Rice
44,15,Rajasthan,69,Stormy,Winter,Bajra
66,27,Andhra Pradesh,31,Cloudy,Summer,Paddy
47,15,Uttar Pradesh,32,Cloudy,Winter,Mustard
79,25,Tripura,68,Cloudy,Winter,Rice
61,27,Meghalaya,,Stormy,Summer,Potato
55,29,Chhattisgarh,,Cloudy,Monsoon,Turmeric
52,18,Telangana,58,Stormy,Winter,Cotton
,31,Madhya Pradesh,57,Sunny,Spring,Soybean
63,13,Sikkim,59,Cloudy,Winter,Cardamom
67,23,Andhra Pradesh,32,Stormy,Winter,Groundnut
71,22,Odisha,31,Rainy,Monsoon,Sugarcane
,35,Kerala,,Stormy,Summer,Tea
77,32,Rajasthan,66,Cloudy,Monsoon,Barley
65,33,Karnataka,67,Cloudy,Spring,Jowar
74,33,Maharashtra,61,Cloudy,Spring,Grapes
60,32,Karnataka,44,Cloudy,Summer,Jowar
